trade_date,ticker,open,high,low,close,volume,ma5,ma20,ma60,slope5,slope20,slope60,ma_order_code,slope_code,ma_state_code,slope_state_code,day_state_code,state_seq_5d,trend_strength,action_bias
2025/5/15,SPY,585.5599976,590.9699707,585.0999756,590.460022,71268100,582.4440186,557.2985016,560.1053345,0.028202852,0.014794971,-0.002055792,mixed,++-,b,2,b2,b2b2b2b2b2,0.018951076,
2025/5/16,SPY,591.25,594.5,589.2800293,594.2000122,76052100,588.4160156,560.6880035,559.8356679,0.028562642,0.016550357,-0.00185869,5>20>60,0,a,2,a2,b2b2b2b2b2,0.019618166,
2025/5/19,SPY,588.0999756,595.539978,588.0999756,594.8499756,68168500,590.7880127,564.7365021,559.7508341,0.023250495,0.019272338,-0.001300671,5>20>60,0,a,2,a2,b2b2b2b2a2,0.017667083,
2025/5/20,SPY,593.0900269,594.0499878,589.5999756,592.8499756,60614500,591.9900024,568.0165009,559.6781667,0.01638953,0.019232062,-0.000762656,5>20>60,0,a,2,a2,b2b2b2a2a2,0.014116915,
2025/5/21,SPY,588.4400024,592.5800171,581.8200073,582.8599854,95197700,591.0439941,570.388501,559.4885,0.004466191,0.017301061,-0.000620125,5>20>60,0,a,2,a2,b2b2a2a2a2,0.007547439,
2025/5/22,SPY,582.6599731,586.6199951,581.4099731,583.0900269,70860400,589.5699951,572.2085022,559.2976674,-0.002061683,0.013230949,-0.000809586,5>20>60,0,a,6,a6,b2a2a2a2a2,0.005162044,
2025/5/23,SPY,575.9799805,581.8099976,575.5999756,579.1099854,76029000,586.5519897,573.6320007,559.1986674,-0.009185987,0.009886156,-0.000856741,5>20>60,0,a,6,a6,a2a2a2a2a6,0.007730189,
2025/5/27,SPY,586.0700073,591.3099976,578.4299927,591.1500244,72588500,585.8119995,575.6470032,559.1481679,-0.008852124,0.009219159,-0.000608291,5>20>60,0,a,6,a6,a2a2a2a6a6,0.007313468,
2025/5/28,SPY,591.5599976,592.7700195,586.9899902,587.7299805,68445500,584.7880005,577.3175018,559.2141673,-0.008110987,0.008928563,-0.000149295,5>20>60,0,a,6,a6,a2a2a6a6a6,0.006763921,
2025/5/29,SPY,593.0599976,593.2000122,586.0700073,590.0499878,69973300,586.226001,579.0930023,559.4340007,-0.000555771,0.009520043,0.00042084,5>20>60,0+0,a,5,a5,a2a6a6a6a6,0.003218067,
2025/5/30,SPY,588.9299927,591.1300049,583.2399902,589.3900146,90601200,587.4859985,580.6390045,559.5395009,0.00285757,0.008671984,0.000699874,5>20>60,0,a,1,a1,a6a6a6a6a5,0.004170355,
2025/6/2,SPY,587.7600098,592.789978,585.0599976,592.710022,61630500,590.2060059,581.9365051,559.8728343,0.009264905,0.008000802,0.001177844,5>20>60,0,a,1,a1,a6a6a6a5a1,0.007268262,
2025/6/3,SPY,592.3400269,597.0800171,591.8499756,596.0900269,63606200,591.1940063,583.565506,560.2090017,0.008474557,0.007723291,0.001385331,5>20>60,0,a,1,a1,a6a6a5a1a1,0.006831332,
2025/6/4,SPY,596.960022,597.9500122,595.4899902,595.9299927,57314200,592.8340088,585.4220062,560.7981679,0.009103213,0.008237479,0.002249469,5>20>60,+++,a,1,a1,a6a5a1a1a1,0.007472744,
2025/6/5,SPY,597.6300049,599,591.0499878,593.0499878,92278700,593.4340088,587.0170044,561.4170013,0.005469282,0.008730333,0.002758068,5>20>60,+++,a,1,a1,a5a1a1a1a1,0.005905354,
2025/6/6,SPY,598.6599731,600.8300171,596.8599854,599.1400146,66588700,595.3840088,588.7210052,562.0881683,0.007087356,0.008834483,0.003354403,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.006864903,
2025/6/9,SPY,599.7199707,601.25,598.4899902,599.6799927,53016400,596.7780029,590.4880035,562.8925018,0.00665278,0.008653582,0.003734559,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.006669376,
2025/6/10,SPY,600.2199707,603.4699707,599.0900269,603.0800171,66247000,598.176001,591.4925049,563.5636688,0.007990766,0.007624141,0.00382366,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.007047357,
2025/6/11,SPY,604.1900024,605.0599976,599.2700195,601.3599854,73658200,599.2619995,592.2185028,564.1338348,0.006513428,0.00594084,0.003639405,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.005766847,
2025/6/12,SPY,600.0100098,603.75,599.5200195,603.75,64129000,601.402002,593.0265015,564.8460012,0.007748273,0.004298983,0.003470466,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.005857925,
2025/6/13,SPY,598.5,601.8499756,595.4799805,597,89506000,600.973999,593.3535004,565.3438344,0.00467755,0.003146271,0.003158766,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.003914409,
2025/6/16,SPY,600.4000244,604.4500122,600.2199707,602.6799927,79984100,601.573999,593.7774994,565.9636678,0.003858078,0.002632469,0.003243615,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.003367503,
2025/6/17,SPY,600.210022,601.75,596.7600098,597.5300293,82209400,600.4640015,593.9115021,566.5228353,-0.00155969,0.001492346,0.002968657,5>20>60,00+,a,5,a5,a1a1a1a1a1,0.00182128,
2025/6/18,SPY,598.4400024,601.2199707,596.4699707,597.4400024,76605000,599.6800049,594.1410034,566.9121684,-0.002153162,0.001327207,0.002774124,5>20>60,-0+,a,5,a5,a1a1a1a1a5,0.002029568,
2025/6/20,SPY,598.3800049,599.460022,592.8599854,594.2800293,94051400,597.7860107,594.7120056,567.2258352,-0.006296795,0.001573832,0.002230121,5>20>60,-0+,a,5,a5,a1a1a1a5a5,0.004066571,中度加?
2025/6/23,SPY,595.039978,600.539978,591.8900146,600.1500244,87426000,598.4160156,595.5650055,567.7518351,-0.003410672,0.002784091,0.002169374,5>20>60,-++,a,5,a5,a1a1a5a5a5,0.002974438,
2025/6/24,SPY,604.3300171,607.8499756,603.4099731,606.7800293,67735300,599.2360229,596.9485077,568.413502,-0.000740365,0.004725316,0.002648265,5>20>60,0++,a,5,a5,a1a5a5a5a5,0.00231743,
2025/6/25,SPY,607.9099731,608.6099854,605.539978,607.1199951,62114800,601.1540161,597.7470062,569.271169,0.005634132,0.005103311,0.003605855,5>20>60,+++,a,1,a1,a5a5a5a5a5,0.00506923,
2025/6/26,SPY,608.9899902,612.3099976,608.3699951,611.8699951,78548400,604.0400146,598.954007,570.1458354,0.009398143,0.005690397,0.004216631,5>20>60,+++,a,1,a1,a5a5a5a5a1,0.007249517,
2025/6/27,SPY,612.8800049,616.3900146,610.8300171,614.9099731,86258400,608.1660034,600.1970062,571.0448354,0.014902276,0.00544184,0.004629259,5>20>60,+++,a,1,a1,a5a5a5a1a1,0.010009542,
2025/6/30,SPY,617.3800049,619.2199707,615.039978,617.8499756,92502500,611.7059937,601.6200043,571.933668,0.017552869,0.006479327,0.004677031,5>20>60,+++,a,1,a1,a5a5a1a1a1,0.011655639,
2025/7/1,SPY,616.3599854,618.8300171,615.5200195,617.6500244,70030100,613.8799927,602.8670044,573.2828349,0.016290275,0.006533052,0.0055021,5>20>60,+++,a,1,a1,a5a1a1a1a1,0.011205473,
2025/7/2,SPY,617.2399902,620.4899902,616.6099854,620.4500122,66510400,616.5459961,604.0850037,575.2023351,0.013779121,0.006477869,0.007280514,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.010289024,
2025/7/3,SPY,622.4500122,626.2800293,622.4299927,625.3400269,51065800,619.2400024,605.5555054,577.2183355,0.012316389,0.006541506,0.009240001,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.009968646,
2025/7/7,SPY,623.3599854,624.0300293,617.8699951,620.6799927,74814500,620.3940063,606.9370056,579.2883352,0.010611217,0.006751076,0.010475632,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.009426058,
2025/7/8,SPY,621.3499756,622.1099854,619.5200195,620.3400269,59024600,620.8920166,607.9970062,580.483669,0.00704898,0.006475914,0.009181698,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.007303604,
2025/7/9,SPY,622.7700195,624.7199707,620.9099731,624.0599976,66113300,622.1740112,609.2160065,582.1416687,0.00473808,0.006044865,0.008529412,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.005888382,
2025/7/10,SPY,624.2000122,626.8699951,623.0100098,625.8200073,57529000,623.2480103,610.353006,583.6730021,0.004600309,0.005628262,0.007569058,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.005502444,
2025/7/11,SPY,622.7399902,624.8599854,621.5300293,623.6199951,63670200,622.9040039,611.4660065,585.0813354,0.003240479,0.005705621,0.007920406,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.004916007,
2025/7/14,SPY,623.1599731,625.1599731,621.7999878,624.8099976,51898500,623.7300049,612.5190063,586.534669,0.002500898,0.005421722,0.007546274,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.00438622,
2025/7/15,SPY,627.5200195,627.8599854,622.0599976,622.1400146,74317300,624.0900024,613.7760071,588.1426697,0.001350975,0.005608232,0.007657828,5>20>60,0++,a,1,a1,a1a1a1a1a1,0.003889522,
2025/7/16,SPY,623.7399902,624.7299805,618.0499878,624.2199707,88987500,624.1219971,614.853006,589.7728363,0.001955347,0.005539146,0.008018545,5>20>60,0++,a,1,a1,a1a1a1a1a1,0.004243126,
2025/7/17,SPY,624.4000244,628.4000244,624.1799927,628.039978,68885700,624.5659912,616.3785034,591.6755025,0.001340302,0.006301024,0.008764756,5>20>60,0++,a,1,a1,a1a1a1a1a1,0.004313409,
2025/7/18,SPY,629.2999878,629.4699707,626.460022,627.5800171,65621600,625.3579956,617.8855042,593.3476695,0.002031747,0.006695435,0.008849893,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.004794483,
2025/7/21,SPY,628.7700195,631.539978,628.3400269,628.7700195,63375000,626.15,619.6100037,594.9035034,0.003249369,0.007736805,0.008699395,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.005685605,
2025/7/22,SPY,629.0999756,629.7299805,626.1900024,628.8599854,60046300,627.4939941,621.0455017,596.2730031,0.00468806,0.007571644,0.007770308,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.006169585,
2025/7/23,SPY,631.5499878,634.210022,629.7299805,634.210022,70511000,629.4920044,622.4170013,597.6658366,0.006610628,0.007333878,0.007277634,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.006961004,
2025/7/24,SPY,634.5999756,636.1500244,633.9899902,634.4199829,71307100,630.7680054,623.7820007,599.05867,0.007375238,0.006733263,0.006984606,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.007104519,
2025/7/25,SPY,635.0900269,637.5800171,634.8400269,637.0999756,56865400,632.6719971,625.0434998,600.4383362,0.008251876,0.006437528,0.006985614,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.00745432,
2025/7/28,SPY,637.4799805,638.039978,635.539978,636.9400024,54917100,634.3059937,626.1450012,601.8116699,0.007647419,0.005989553,0.006936708,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.007007917,
2025/7/29,SPY,638.3499756,638.6699829,634.3400269,635.2600098,60556300,635.5859985,627.0155029,603.0915039,0.007638297,0.005183706,0.006731951,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.00672065,
2025/7/30,SPY,635.9199829,637.6799927,631.539978,634.460022,80418900,635.6359985,627.8560028,604.2198374,0.004684894,0.004499692,0.006297901,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.004951935,
2025/7/31,SPY,639.460022,639.8499756,630.7700195,632.0800171,103385200,635.1680054,628.4375031,605.3626709,0.001358984,0.003661295,0.005900519,5>20>60,0++,a,1,a1,a1a1a1a1a1,0.002957984,
2025/8/1,SPY,626.2999878,626.3400269,619.289978,621.7199707,140103600,632.0920044,628.2565002,606.4113373,-0.00549728,0.001979213,0.005504693,5>20>60,-0+,a,5,a5,a1a1a1a1a1,0.004443342,
2025/8/4,SPY,625.6699829,631.2199707,625.5800171,631.1699829,73218000,630.9380005,628.7809998,607.5783366,-0.007391019,0.001473263,0.005558406,5>20>60,-0+,a,5,a5,a1a1a1a1a5,0.00524917,
2025/8/5,SPY,631.789978,632.6099854,627.039978,627.9699707,68051400,629.4799927,629.1624969,608.6268361,-0.008955131,0.001153645,0.005392082,5>20>60,-0+,a,5,a5,a1a1a1a5a5,0.005902075,中度加?
2025/8/6,SPY,629.0499878,633.4400024,628.1300049,632.7800293,64357500,629.1439941,629.5984985,609.7675028,-0.004663894,0.002136067,0.00553447,20>5>60,-++,c,5,c5,a1a1a5a5a5,0.004079661,
2025/8/7,SPY,636.2399902,636.9799805,629.1099854,632.25,74205800,629.1779907,629.9199982,610.588503,-0.002789513,0.001811439,0.004954368,20>5>60,-0+,c,5,c5,a1a5a5a5c5,0.002929062,
